name_eng,url
Hyun Jin Ryu,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hye
Ricardo Sanchez,https://www.baseball-reference.com/register/player.fcgi?id=sanche005ric
Ryan Weiss,https://www.baseball-reference.com/register/player.fcgi?id=weiss-000rya
Jang Hyeok Yoo,https://www.baseball-reference.com/register/player.fcgi?id=yoo---000jan
Dae Kyung Yun,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000dae
Cam Alldred,https://www.baseball-reference.com/register/player.fcgi?id=alldre000cam
Sócrates Brito,https://www.baseball-reference.com/register/player.fcgi?id=brito-001soc
Woo-hyuk Byun,https://www.baseball-reference.com/register/player.fcgi?id=byun--000woo
Hyoung Woo Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000hyo
Jeong Yong Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--004jeo
Ji Min Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000jim
Won Jun Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--004won
Wil Crowe,https://www.baseball-reference.com/register/player.fcgi?id=crowe-000wil
Joon-soon Han,https://www.baseball-reference.com/register/player.fcgi?id=han---001joo
Seung Taek Han,https://www.baseball-reference.com/register/player.fcgi?id=han---001seu
Jong Pyo Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000jon
Dae In Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001dae
Dong Ha Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-001don
Gi Yeong Im,https://www.baseball-reference.com/register/player.fcgi?id=lim---000ki-
Hyun Sik Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--000hye
Jae Hyouk Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--005jae
Sang Hyun Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001san
Hai Young Jung,https://www.baseball-reference.com/register/player.fcgi?id=jung--000hai
Dae Yu Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003dae
Do Yeong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001doy
