name_eng_x,url,name_new,name_kor,name_eng_y
Jun Jae Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-001jun,jun jae jeong,정준재,Jun-jae Jung
Byeong Hyeon Jo,https://www.baseball-reference.com/register/player.fcgi?id=jo----001bye,byeong hyeon cho,조병현,Byeong-Hyeon Cho
Jin Sung Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--001jin,jin sung kang,강진성,Jin-Sung Kang
Chan Hyung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007cha,chan hyung kim,김찬형,Chan-Hyung Kim
Chang Pyeong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---009cha,chang pyeong kim,김창평,Chang-Pyeong Kim
Joo On Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---006joo,joo on kim,김주온,Joo-On Kim
Kwang Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002gwa,kwang hyun kim,김광현,Kwang-Hyun Kim
Min Sik Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---020min,min sik kim,김민식,Min-Sik Kim
Sung Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---014seo,sung hyun kim,김성현,Sung-Hyun Kim
Sung Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---014seo,sung hyun kim,김성현,Sung-hyun Kim
Hyo Jun Ko,https://www.baseball-reference.com/register/player.fcgi?id=ko----000hyo,hyo jun ko,고효준,Hyo-Jun Ko
Myeong Jun Ko,https://www.baseball-reference.com/register/player.fcgi?id=ko----000mye,myeong jun ko,고명준,Myeong-Jun Ko
Ji Young Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003ji-,ji young lee,이지영,Ji-Young Lee
Ro Un Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000rou,ro un lee,이로운,Ro-Un Lee
Seung Won Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--000seu,seung won moon,문승원,Seung-Won Moon
Tae Gon Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----002seu,tae gon oh,오태곤,Tae-Gon Oh
Won Seok Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----000won,won seok oh,오원석,Won-Seok Oh
Ji Hwan Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001jih,ji hwan park,박지환,Ji-hwan Park
Ji Hwan Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001jih,ji hwan park,박지환,Ji-Hwan Park
Min Ho Park,https://www.baseball-reference.com/register/player.fcgi?id=park--003min,min ho park,박민호,Min-Ho Park
Hyo Seung Ryu,https://www.baseball-reference.com/register/player.fcgi?id=ryu---000hyo,hyo seung ryu,류효승,Hyo-Seung Ryu
Jin Yong Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---000jin,jin yong seo,서진용,Jin-Yong Seo
Beom Soo Shin,https://www.baseball-reference.com/register/player.fcgi?id=shin--000bum,beom soo shin,신범수,Beom-Soo Shin
Heon Min Shin,https://www.baseball-reference.com/register/player.fcgi?id=shin--000heo,heon min shin,신헌민,Heon-Min Shin
Young Jin Song,https://www.baseball-reference.com/register/player.fcgi?id=song--000you,young jin song,송영진,Young-Jin Song
Jae Seok An,https://www.baseball-reference.com/register/player.fcgi?id=an----001jae,jae seok ahn,안재석,Jae-Seok An
Seung Woo Baek,https://www.baseball-reference.com/register/player.fcgi?id=baek--001seu,seung woo baek,백승우,Seung-Woo Baek
Won-jun Chang,https://www.baseball-reference.com/register/player.fcgi?id=chang-000won,won jun jang,장원준,Won-Jun Jang
Dylan File,https://www.baseball-reference.com/register/player.fcgi?id=file--000dyl,dylan file,딜런,Dylan Michael File
Bong Jae Go,https://www.baseball-reference.com/register/player.fcgi?id=ko----000bon,bong jae ko,고봉재,Bong-Jae Ko
Min Seok Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000min,min seok kwon,권민석,Min-Seok Kwon
Seung Jin Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---016seu,seung jin lee,이승진,Seung-Jin Lee
Won Jae Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---011won,won jae lee,이원재,Won-Jae Lee
Ji Hoon Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000jih,ji hoon park,박지훈,Ji-Hoon Park
Jose Rojas,https://www.baseball-reference.com/register/player.fcgi?id=rojas-008jos,jose rojas,로하스,Jose Rojas
