name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
,1992-03-24,,dong keun lee,이동근,Donk-Keun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13192
,1999-08-10,,dong kwan lee,이동관,Dong-Kwan Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15617
,1999-09-29,,dong kwon kang,강동권,Dong-Gwon Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=13132
,1999-04-08,,dong kyu kim,김동규,Dong-Gyu Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14165
,1997-05-08,,dong kyu lee,이동규,Dong-Kyu Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=12553
,1989-10-09,,dong kyu shin,신동규,Dong-Kyu Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=10896
,1992-08-02,,dong min park,박동민,Dong-Min Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=12520
,1996-04-29,,dong min shin,신동민,Dong-Min Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=13272
,2001-06-08,,dong su shin,신동수,Dong-Su Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=14696
,1988-06-21,,dong woo jang,장동우,Dong-Woo Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=11176
,1995-07-27,,dong wook jeong,정동욱,Dong-Wook Jeong,https://statiz.sporki.com/player/?m=playerinfo&p_no=13101
,1999-03-08,,dong wook kim,김동욱,Dong-wook Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15136
,2001-01-18,,dong wook kwon,권동욱,Dong-wook Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=16117
,2004-02-26,,dong wook seo,서동욱,Dong-Wook Seo,https://statiz.sporki.com/player/?m=playerinfo&p_no=15458
,1996-04-18,,dong wook song,송동욱,Dong-Uk Song,https://statiz.sporki.com/player/?m=playerinfo&p_no=13283
,1991-05-15,,dong woon yang,양동운,Dong-woon Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10738
,2002-11-01,,dong yeong cha,차동영,Dong-Young Cha,https://statiz.sporki.com/player/?m=playerinfo&p_no=15037
,1989-08-08,,dong yeong kim,김동영,Dong-yung Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11179
,1989-03-06,,doo san jeong,정두산,Du-San Jeong,https://statiz.sporki.com/player/?m=playerinfo&p_no=12674
,1991-01-24,,enny manuel romero hernandez,로메로,Enny Manuel Romero Hernandez,https://statiz.sporki.com/player/?m=playerinfo&p_no=15529
,2002-04-06,,eui jun hwang,황의준,Ui-Jun Hwang,https://statiz.sporki.com/player/?m=playerinfo&p_no=15524
,1999-10-16,,eui jun kim,김의준,Eui-Jun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13108
,1993-09-01,,eui seo moon,문의서,Ui-Seo Moon,https://statiz.sporki.com/player/?m=playerinfo&p_no=10858
,2001-04-01,,eun cho,조은,Eun Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=14810
,1995-02-10,,eun hyeong lee,이은형,Eun-Hyung Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=13243
,1993-10-11,,eun seok jeon,전은석,Eun-Seok Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=10818
,1997-08-01,,eung soo kim,김응수,Eung-Soo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12635
,1992-10-29,,gong yeob sa,사공엽,Gong-Yeop Sa,https://statiz.sporki.com/player/?m=playerinfo&p_no=11385
,2002-03-13,,gyoo dae kim,김규대,Gyoo-Dae Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14884
,1997-07-22,,ha seong ryu,류하성,Ha-Seong Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=15130
,2005-10-30,,ha won jeon,전하원,Ha-Won Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=16098
,2004-05-25,,hae chan kim,김해찬,Hae-Chan Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=15425
,2004-05-21,,hae won jeong,정해원,Hae-Won Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=15433
,1989-05-05,,hae woong ha,하해웅,Hae-Woong Ha,https://statiz.sporki.com/player/?m=playerinfo&p_no=11127
,1995-06-10,,hak jin cho,조학진,Hak-Jin Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=11350
,2000-12-12,,hak jin shin,신학진,Hak-Jin Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=14637
,1999-05-04,,hak jun noh,노학준,Hak-Jun Noh,https://statiz.sporki.com/player/?m=playerinfo&p_no=13677
,2005-08-23,,han bin so,소한빈,Han-bin So,https://statiz.sporki.com/player/?m=playerinfo&p_no=16097
,1997-09-03,,han byul kim,김한별,Han-Byul Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12620
,2003-08-25,,han lee,이한,Han Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15114
,1984-05-23,,han sang kim,김한상,Han-Sang Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11466
,1995-04-22,,han sol kim,김한솔,Han-Sol Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13225
