name_kor,name_eng
박태순,Tae-Soon Park
장형석,Hyung-Seok Jang
최재호,Jae-Ho Choi
양용모,Yong-Mo Yang
권영철,Young-Choul Kwon
김헌수,Heon-Soo Kim
하춘동,Chun-Dong Ha
이계성,Gye-Seong Lee
최창양,Chang- Yang Choi
황성관,Sung-Kwan Hwang
박현영,Hyun-Young Park
김종훈,Jong-Hoon Kim
송재익,Jae-Ik Song
변대수,Dae-Soo Byun
장성국,Sung-Guk Jang
이희성,Hee-Sung Lee
최승우,Seung-Woo Choi
박동희,Dong-Hee Park
박근영,Geun-Young Park
베이커,Scoot Baker
김형석,Hyung-Seok Kim
파라,Jose Para
김진웅,Jin-Woong Kim
김수관,Soo-Kwan Kim
정현욱,Hyun-Wook Jeong
김광현,Kwang-Hyun Kim
진갑용,Kab-Yong Jin
홀,Billy Hall
노장진,Jang-Jin Noh
라형진,Hyung-Jin Ra
이동은,Dong-Eun Lee
김상진,Sang-Jin Kim
스미스,Charles Smith
정회선,Hoi-Sun Jung
정성열,Sung-Yeol Jung
장영균,Young-Kyun Jang
문남열,Nam-Yeol Moon
김동수,Dong-Soo Kim
박정환,Jeong-Hwan Park
프랑코,Julio Franco
배영수,Young-Soo Bae
남기헌,Ki-Heon Nam
이용훈,Yong-Hoon Lee
가르시아,Michael Garcia
이명호,Myung-Ho Lee
임학수,Hak-Soo Im
조상수,Sang-Soo Cho
김승권,Seong-Kon Kim
바에르가,Carlos Baerga
리베라,Bienvenido Rivera
마르티네스,Manny Martinez
이성수,Sung-Soo Lee
박한이,Han-Yi Park
이정호,Jeong-Ho Lee
김덕윤,Duk-Yoon Kim
갈베스,Balvino Galvez
토레스,Salomon Torres
정정오,Jung-Oh Jung
구민호,Min-Ho Ku
김성표,Sung-Pyo Kim
안규현,Gyu-Hyeon Ahn
황수범,Soo-Beom Hwang
이현동,Hyun-Dong Lee
임익현,Ik-Hyeon Lim
한겸,Gyeom Han
허승민,Seung-Min Hur
임재철,Jae-Chul Lim
정병곤,Byeong-Gon Jung
임동규,Dong-Gyu Lim
엘비라,Narciso Elvira
박화랑,Hwa-Rang Park
채형직,Hyeong-Jik Chae
정홍준,Hong-Jun Jeong
권오원,Oh-Won Kwon
현재윤,Jae-Yoon Hyun
패트릭,Bronswell Patrick
추승민,Seung-Min Choo
홍효의,Hyo-Ui Hong
박봉수,Bong-Soo Park
이동훈,Dong-hun Lee
오상민,Sang-Min Oh
크루세타,Francisco Alberto Cruceta
김재현,Jae-Hyeon Kim
이규대,Kyu-Dae Lee
카리대,Esmailin Caridad
매티스,Douglas Mathis
권혁,Hyeok Gwon
이태호,Tae-Ho Lee
이성훈,Seong-Hoon Lee
이준민,Jun-Min Lee
정우양,Woo-Yang Jung
고든,Brian Ernest Gordon
손주인,Ju-In Son
두영진,Yeong-Jin Do
임세업,Se-Eop Lim
오태선,Tae-Sun Oh
노병오,Byung-Oh Noh
에르난데스,Runelvys Hernandez
손형준,Hyeong-Jun Son
노승현,Seung-Hyeon Noh
조동찬,Dong-Chan Cho
김영훈,Young-Hoon Kim
고지행,Ji-Haeng Ko
강명구,Myung-Gu Kang
심성보,Sung-Bo Sim
김문수,Moon-Soo Kim
라이언,Ryan Glynn
안지만,Ji-Man An
권오준,Oh-joon Kwon
곽용섭,Yong-Seob Kwak
이준,Jun Lee
지승민,Seung-Min Ji
진종길,Jin Jong-Kil
이정식,Jung-Sik Lee
박석민,Sok-Min Park
로페즈,Mendy Lopez
오리어리,Troy O’leary
김대익,Dae-Ik Kim
김영복,Young-Bok Kim
윤성환,Sung-Hwan Yun
호지스,Kevin Jon Hodges
안태영,Tae-Young An
박진만,Jin-Man Park
오승환,Seung-Hwan Oh
바르가스,Martin Vargas
심정수,Jung-Soo Sim
손승현,Seung-Hyun Son
하리칼라,Tim Harikkala
해크먼,Luther Hackman
조진호,Jin-Ho Cho
허연철,Yeon-Chul Heo
